0.000000   100.000000   new 1567.099033 100.000000
12652319.591238 99.999999    new 12651908.730531 99.999999 
12653852.421658 99.999999    new 12656024.525385 99.999999 
12657967.283884 99.999999    new 12657546.536862 99.999999 
12659489.639516 99.999999    new 12661186.972652 99.999999 
12663127.034662 99.999999    new 12662720.820677 99.999999 
12664659.865161 99.999999    new 13174766.476919 99.999999 
13176702.372258 99.999999    new 13176288.830280 99.999999 
13178224.728245 99.999999    new 13179968.979077 99.999999 
13181929.891173 99.999999    new 13181502.875032 99.999999 
13183462.722439 99.999999    new 13244840.660890 99.999999 
13246823.835831 99.999999    new 13246406.861368 99.999999 
13248390.549440 99.999999    new 13322511.319722 99.999999 
13324500.401806 99.999999    new 13324074.943439 99.999999 
13326064.037701 99.999999    new 13337069.526801 99.999999 
13339058.597894 99.999999    new 13338633.165220 99.999999 
13340622.233785 99.999999    new 13361235.248326 99.999999 
13363221.629965 99.999999    new 13362799.070202 99.999999 
13364785.263096 99.999999    new 13395501.800286 99.999999 
13397481.135991 99.999999    new 13397065.764848 99.999999 
13399044.769259 99.999999    new 13427113.456822 99.999999 
13429093.302397 99.999999    new 13428635.682237 99.999999 
13430615.661167 99.999999    new 13430560.297165 99.999999 
13432564.969582 99.999999    new 13432106.273805 99.999999 
13434128.602855 99.999999    new 13443928.048600 99.999999 
13445950.128744 99.999999    new 13445491.717171 99.999999 
13447513.764284 99.999999    new 13462272.803770 99.999999 
13464294.194583 99.999999    new 13463836.500696 99.999999 
13465857.830420 99.999999    new 13476674.749657 99.999999 
13478693.439415 99.999999    new 13478238.707161 99.999999 
13480257.072529 99.999999    new 13485296.206725 99.999999 
13487313.145712 99.999999    new 13486860.158685 99.999999 
13488876.781385 99.999999    new 13502566.364834 99.999999 
13504608.012247 99.999999    new 13504127.510226 99.999999 
13506171.647920 99.999999    new 13548082.975540 99.999999 
13550124.704844 99.999999    new 13549646.697136 99.999999 
13551688.340681 99.999999    new 13560086.581288 99.999999 
13562127.976125 99.999999    new 13561608.627757 99.999999 
