interval 0.231904   current 14668.827097   old_charge 361579455   old_soc 99.999985   new_charge 12018917   new_soc 100.000000
interval 0.004942   current 14668.827097   old_charge 361650888   old_soc 99.999985   new_charge 12020428   new_soc 100.000000
interval 0.009868   current 14668.827097   old_charge 361652411   old_soc 99.999985   new_charge 12023468   new_soc 100.000000
interval 0.004976   current 14668.827097   old_charge 361655450   old_soc 99.999985   new_charge 12024992   new_soc 100.000000
interval 0.301148   current 14668.827097   old_charge 361656983   old_soc 99.999985   new_charge 12117759   new_soc 99.999999
interval 0.005076   current 14668.827097   old_charge 361749745   old_soc 99.999985   new_charge 12119325   new_soc 99.999999
interval 0.088832   current 14668.827097   old_charge 361751309   old_soc 99.999985   new_charge 12146689   new_soc 99.999999
interval 0.004942   current 14668.827097   old_charge 361778672   old_soc 99.999985   new_charge 12148201   new_soc 99.999999
interval 0.014856   current 14668.827097   old_charge 361780194   old_soc 99.999985   new_charge 12152781   new_soc 99.999999
interval 0.004986   current 14668.827097   old_charge 361784770   old_soc 99.999985   new_charge 12154311   new_soc 99.999999
interval 0.192340   current 14668.827097   old_charge 361786306   old_soc 99.999985   new_charge 12213560   new_soc 99.999999
interval 0.005076   current 14668.827097   old_charge 361845552   old_soc 99.999985   new_charge 12215126   new_soc 99.999999
interval 0.008212   current 14668.827097   old_charge 361847116   old_soc 99.999985   new_charge 12217657   new_soc 99.999999
interval 0.004942   current 14668.827097   old_charge 361849645   old_soc 99.999985   new_charge 12219169   new_soc 99.999999
interval 0.007850   current 14668.827097   old_charge 361851167   old_soc 99.999985   new_charge 12221586   new_soc 99.999999
interval 0.005076   current 14668.827097   old_charge 361853585   old_soc 99.999985   new_charge 12223152   new_soc 99.999999
interval 0.505394   current 14668.827097   old_charge 361855149   old_soc 99.999985   new_charge 12378836   new_soc 99.999999
interval 0.004942   current 14668.827097   old_charge 362010825   old_soc 99.999985   new_charge 12380348   new_soc 99.999999
interval 0.012028   current 14668.827097   old_charge 362012347   old_soc 99.999985   new_charge 12384051   new_soc 99.999999
interval 0.004976   current 14668.827097   old_charge 362016052   old_soc 99.999985   new_charge 12385576   new_soc 99.999999
interval 1.146800   current 14668.827097   old_charge 362017585   old_soc 99.999985   new_charge 12738842   new_soc 99.999999
interval 0.005076   current 14668.827097   old_charge 362370833   old_soc 99.999985   new_charge 12740408   new_soc 99.999999
interval 0.085534   current 14668.827097   old_charge 362372396   old_soc 99.999985   new_charge 12766757   new_soc 99.999999
interval 0.004942   current 14668.827097   old_charge 362398743   old_soc 99.999985   new_charge 12768269   new_soc 99.999999
interval 0.014010   current 14668.827097   old_charge 362400265   old_soc 99.999985   new_charge 12772585   new_soc 99.999999
interval 0.004986   current 14668.827097   old_charge 362404581   old_soc 99.999985   new_charge 12774115   new_soc 99.999999
interval 0.210306   current 14668.827097   old_charge 362406117   old_soc 99.999985   new_charge 12838900   new_soc 99.999999
interval 0.005076   current 14668.827097   old_charge 362470897   old_soc 99.999985   new_charge 12840465   new_soc 99.999999
interval 0.008212   current 14668.827097   old_charge 362472460   old_soc 99.999985   new_charge 12842996   new_soc 99.999999
interval 0.004942   current 14668.827097   old_charge 362474990   old_soc 99.999985   new_charge 12844509   new_soc 99.999999
interval 0.012920   current 14668.827097   old_charge 362476512   old_soc 99.999985   new_charge 12848484   new_soc 99.999999
interval 0.005076   current 14668.827097   old_charge 362480492   old_soc 99.999985   new_charge 12850050   new_soc 99.999999
interval 0.390572   current 14668.827097   old_charge 362482056   old_soc 99.999985   new_charge 12970364   new_soc 99.999999
interval 0.004942   current 14668.827097   old_charge 362602363   old_soc 99.999985   new_charge 12971877   new_soc 99.999999
interval 0.011808   current 14668.827097   old_charge 362603885   old_soc 99.999985   new_charge 12975518   new_soc 99.999999
interval 0.004976   current 14668.827097   old_charge 362607523   old_soc 99.999985   new_charge 12977044   new_soc 99.999999
interval 1.505562   current 14668.827097   old_charge 362609055   old_soc 99.999985   new_charge 13440825   new_soc 99.999999
interval 0.004942   current 14668.827097   old_charge 363072812   old_soc 99.999985   new_charge 13442339   new_soc 99.999999
